Pekerjaan,Periode Tagihan,Bulan,BAPP,LPP,Data Dukung,Tagihan,Pembayaran,Catatan
Sewa Kendaraan Ops APINDO,5 Mei - 4 Jun,Mei 2026,Draft,Belum,Belum,Belum,Belum,Sedang prep BAPP
Sewa Kendaraan Ops APINDO,5 Jun - 4 Jul,Jun 2026,Belum,Belum,Belum,Belum,Belum,
Sewa Kendaraan Ops APINDO,5 Jul - 4 Agu,Jul 2026,Belum,Belum,Belum,Belum,Belum,
Sewa Kendaraan Ops APINDO,5 Agu - 4 Sep,Agu 2026,Belum,Belum,Belum,Belum,Belum,
Sewa Kendaraan Ops APINDO,5 Sep - 4 Okt,Sep 2026,Belum,Belum,Belum,Belum,Belum,
Sewa Kendaraan Ops APINDO,5 Okt - 4 Nov,Okt 2026,Belum,Belum,Belum,Belum,Belum,
Sewa Kendaraan Ops APINDO,5 Nov - 4 Des,Nov 2026,Belum,Belum,Belum,Belum,Belum,
Sewa Kendaraan Ops APINDO,5 Des - 4 Jan,Des 2026,Belum,Belum,Belum,Belum,Belum,
Kendaraan Direksi 2023,8 Mei - 7 Jun,Mei 2026,Belum,Belum,Belum,Belum,Belum,Periode tgl 8-7
Kendaraan Direksi 2023,8 Jun - 7 Jul,Jun 2026,Belum,Belum,Belum,Belum,Belum,
Kendaraan Direksi 2024,20 Mei - 19 Jun,Mei 2026,Belum,Belum,Belum,Belum,Belum,Periode tgl 20-19
Kendaraan Direksi 2024,20 Jun - 19 Jul,Jun 2026,Belum,Belum,Belum,Belum,Belum,
Seat Management,(TBD),(TBD),Belum,Belum,Belum,Belum,Belum,Menunggu SPK
Helpdesk Layer 1,(TBD),(TBD),Belum,Belum,Belum,Belum,Belum,Menunggu SPK
AIS IATA,(TBD),(TBD),Belum,Belum,Belum,Belum,Belum,Menunggu SPK
